chart,Time,close,num,ShaHighSD,ShaLowSD,,ShaHighUSD,ShaLowUSD
EURUSD,2019.08.09 19:58:00,1.12104,1,8.999999999992347e-05,0.00012000000000012,,0,0
EURUSD,2019.08.09 19:57:00,1.12103,2,7.00000000000145e-05,2.000000000013102e-05,,0,0
EURUSD,2019.08.09 19:56:00,1.12059,3,0,0,,9.999999999998899e-05,0
EURUSD,2019.08.09 19:55:00,1.12076,4,8.999999999992347e-05,0.0002100000000000435,,0,0
EURUSD,2019.08.09 19:54:00,1.12069,5,5.000000000010552e-05,0.000280000000000058,,0,0
EURUSD,2019.08.09 19:53:00,1.12068,6,0,0,,3.999999999981796e-05,1.000000000006551e-05
EURUSD,2019.08.09 19:52:00,1.12107,7,0,0,,0,1.000000000006551e-05
EURUSD,2019.08.09 19:51:00,1.12118,8,0,0,,2.000000000013102e-05,3.999999999981796e-05
EURUSD,2019.08.09 19:50:00,1.12122,9,0,0,,3.000000000019654e-05,1.999999999990898e-05
EURUSD,2019.08.09 19:49:00,1.12125,10,1.999999999990898e-05,2.000000000013102e-05,,0,0
EURUSD,2019.08.09 19:48:00,1.12126,11,0,0,,2.999999999997449e-05,5.000000000010552e-05
EURUSD,2019.08.09 19:47:00,1.12134,12,0,0,,7.00000000000145e-05,0
EURUSD,2019.08.09 19:46:00,1.12135,13,0,0,,5.000000000010552e-05,1.000000000006551e-05
EURUSD,2019.08.09 19:45:00,1.12138,14,2.999999999997449e-05,2.000000000013102e-05,,0,0
EURUSD,2019.08.09 19:44:00,1.12133,15,0,0,,1.999999999990898e-05,0
EURUSD,2019.08.09 19:43:00,1.12138,16,8.999999999992347e-05,5.999999999994898e-05,,0,0
EURUSD,2019.08.09 19:42:00,1.12138,17,0,0,,1.000000000006551e-05,0
EURUSD,2019.08.09 19:41:00,1.12143,18,0,0,,0,0
EURUSD,2019.08.09 19:40:00,1.12159,19,0,0,,0,7.00000000000145e-05
EURUSD,2019.08.09 19:39:00,1.12173,20,4.000000000004e-05,9.999999999843467e-06,,0,0
EURUSD,2019.08.09 19:38:00,1.12174,21,0,0,,4.999999999988347e-05,4.000000000004e-05
EURUSD,2019.08.09 19:37:00,1.12174,22,1.000000000006551e-05,1.000000000006551e-05,,0,0
EURUSD,2019.08.09 19:36:00,1.12165,23,4.000000000004e-05,2.999999999997449e-05,,0,0
EURUSD,2019.08.09 19:35:00,1.12154,24,5.000000000010552e-05,2.999999999997449e-05,,0,0
EURUSD,2019.08.09 19:34:00,1.12152,25,0,0,,2.999999999997449e-05,0
EURUSD,2019.08.09 19:33:00,1.12168,26,0,0,,4.000000000004e-05,0
EURUSD,2019.08.09 19:32:00,1.12177,27,0,0,,9.999999999843467e-06,2.999999999997449e-05
EURUSD,2019.08.09 19:31:00,1.12181,28,5.999999999994898e-05,9.999999999998899e-05,,0,0
EURUSD,2019.08.09 19:30:00,1.12176,29,0,0,,5.000000000010552e-05,4.000000000004e-05
EURUSD,2019.08.09 19:29:00,1.12179,30,0,0,,0,9.000000000014552e-05
EURUSD,2019.08.09 19:28:00,1.12194,31,2.999999999997449e-05,7.999999999985796e-05,,0,0
EURUSD,2019.08.09 19:27:00,1.12194,32,0,0,,0,1.000000000006551e-05
EURUSD,2019.08.09 19:26:00,1.12215,33,9.999999999998899e-05,0,,0,0
EURUSD,2019.08.09 19:25:00,1.1219,34,7.00000000000145e-05,0,,0,0
EURUSD,2019.08.09 19:24:00,1.12173,35,0,0,,0,7.00000000000145e-05
EURUSD,2019.08.09 19:23:00,1.12178,36,5.999999999994898e-05,0,,0,0
EURUSD,2019.08.09 19:22:00,1.12167,37,0,0,,7.999999999985796e-05,4.999999999988347e-05
EURUSD,2019.08.09 19:21:00,1.12169,38,0,0,,0,2.000000000013102e-05
EURUSD,2019.08.09 19:20:00,1.12183,39,0,0,,5.000000000010552e-05,9.999999999843467e-06
EURUSD,2019.08.09 19:19:00,1.12197,40,5.000000000010552e-05,4.000000000004e-05,,0,0
EURUSD,2019.08.09 19:18:00,1.12188,41,0,2.999999999997449e-05,,0,0
EURUSD,2019.08.09 19:17:00,1.12163,42,6.000000000017103e-05,2.000000000013102e-05,,0,0
EURUSD,2019.08.09 19:16:00,1.12159,43,1.999999999990898e-05,0,,0,0
EURUSD,2019.08.09 19:15:00,1.12146,44,0,1.999999999990898e-05,,0,0
EURUSD,2019.08.09 19:14:00,1.12139,45,0,0,,2.000000000013102e-05,3.999999999981796e-05
EURUSD,2019.08.09 19:13:00,1.1215,46,0,0,,1.999999999990898e-05,0.0001500000000000945
EURUSD,2019.08.09 19:12:00,1.12149,47,7.999999999985796e-05,4.000000000004e-05,,0,0
EURUSD,2019.08.09 19:11:00,1.12149,48,0,0,,0,2.999999999997449e-05
EURUSD,2019.08.09 19:10:00,1.12177,49,0,0,,0,0
EURUSD,2019.08.09 19:09:00,1.12148,50,7.00000000000145e-05,5.999999999994898e-05,,0,0
EURUSD,2019.08.09 19:08:00,1.12148,51,0,0,,5.000000000010552e-05,0
EURUSD,2019.08.09 19:07:00,1.12178,52,2.999999999997449e-05,7.00000000000145e-05,,0,0
EURUSD,2019.08.09 19:06:00,1.12173,53,0,0,,5.999999999994898e-05,4.000000000004e-05
EURUSD,2019.08.09 19:05:00,1.12177,54,0,0,,4.000000000004e-05,7.00000000000145e-05
EURUSD,2019.08.09 19:04:00,1.12184,55,0,0,,1.999999999990898e-05,9.999999999998899e-05
EURUSD,2019.08.09 19:03:00,1.12187,56,0,0,,3.999999999981796e-05,8.000000000008001e-05
EURUSD,2019.08.09 19:02:00,1.12189,57,8.999999999992347e-05,5.999999999994898e-05,,0,0
